ID;id_almacen;descarga;id_cliente
291;103;32787;2
286;36;135757;9
286;75;135757;9
314;66;21164;7
285;86;135757;9
307;26;135757;9
307;26;135757;9
291;77;32787;2
292;77;32787;2
277;50;32787;2
284;40;135757;9
284;40;135757;3
300;39;245916;5
279;39;245916;5
279;24;245916;5
291;32;32787;2
284;19;135757;9
284;19;135757;9
279;106;245916;5
300;106;245916;5
307;84;135757;9
282;28;135757;9
284;54;135757;9
279;27;135757;9
279;27;245916;5
280;47;135757;4
287;59;135757;4
281;35;135757;4
278;50;135757;3
280;21;135757;3
280;21;135757;3
284;40;135757;3
281;85;135757;9
285;29;135757;9
280;29;135757;9
284;18;135757;9
284;18;135757;9
292;18;32787;2
280;60;135757;3
283;28;135757;3
278;11;135757;3
280;63;135757;3
297;43;135757;9
279;81;245916;5
280;67;135757;3
280;64;135757;3
280;64;135757;3
278;51;135757;3
278;51;135757;3
280;68;135757;3
286;16;135757;3
286;16;135757;3
280;71;135757;3
286;104;135757;3
293;38;135757;3
289;73;135757;3
278;49;135757;3
278;49;135757;3
278;14;135757;3
278;14;135757;3
285;52;135757;9
283;83;135757;9
283;83;135757;9
312;22;21164;7
283;28;135757;9
282;28;135757;9
306;40;135757;3
298;60;135757;3
299;11;135757;3
307;28;135757;3
298;63;135757;3
301;81;245916;5
301;81;245916;5
281;85;135757;9
306;64;135757;3
281;35;135757;9
281;35;135757;9
300;71;135757;3
298;68;135757;3
315;103;32787;2
296;19;135757;9
296;19;135757;9
313;19;21164;7
305;18;245916;5
305;18;135757;9
314;18;21164;7
295;21;135757;3
301;27;245916;5
307;25;135757;9
307;25;135757;9
312;101;21164;7
313;98;21164;7
300;24;245916;5
300;24;245916;5
283;16;135757;9
283;16;135757;9
288;19;135757;9
285;29;135757;9
280;29;135757;9
291;16;32787;2
291;16;32787;2
292;16;32787;2
292;16;32787;2
294;32;32787;2
307;28;135757;9
303;28;135757;9
313;28;21164;7
299;50;135757;4
298;47;135757;4
298;47;135757;4
300;42;135757;4
311;70;135757;4
310;59;135757;4
296;35;135757;4
